exp,cut_mode,occlusion_mode,n_points,latent_dim,cut_q_min,cut_q_max,lambda_margin,lambda_occlusion,occlusion_clearance,occlusion_points,occlusion_max_center_dist_mult,best_epoch,best_val_total,eval_val_total,eval_val_chamfer,eval_val_margin,eval_val_occlusion_pen_mean,eval_val_occlusion_contact_ratio,eval_val_occlusion_min_d_p05,eval_val_occlusion_min_d_p50,eval_val_occlusion_min_d_p95,eval_test_total,eval_test_chamfer,eval_test_margin,eval_test_occlusion_pen_mean,eval_test_occlusion_contact_ratio,eval_test_occlusion_min_d_p05,eval_test_occlusion_min_d_p50,eval_test_occlusion_min_d_p95,out_dir
p2tC_n256_seed1337_20251214_073510,z,jaw,256,256,0.650000,0.750000,0.000000,0.100000,0.500000,1024,0.000000,10,0.057157,0.057571,0.057197,0.025533,0.003737,0.028815,0.609575,1.862458,4.676500,0.057178,0.056831,0.025368,0.003466,0.026718,0.630832,1.935230,4.911223,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_073510
p2tC_n256_seed1337_20251214_035634,z,jaw,256,256,0.650000,0.750000,0.000000,0.000000,0.000000,2048,0.000000,9,0.057325,0.057667,0.057667,0.025988,0.003798,0.028957,0.610356,1.872916,4.722991,0.057351,0.057351,0.025741,0.003456,0.026618,0.630445,1.944669,4.950644,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_035634
p2tC_n256_seed1337_20251214_044131,z,jaw,256,256,0.650000,0.750000,0.000000,0.050000,0.500000,1024,0.000000,9,0.057643,0.058038,0.057855,0.025507,0.003651,0.028323,0.612372,1.878902,4.730025,0.057683,0.057512,0.025231,0.003429,0.026397,0.632764,1.943036,4.978773,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_044131
p2tC_n256_seed1337_20251214_040657,z,jaw,256,256,0.650000,0.750000,0.100000,0.000000,0.000000,2048,0.000000,9,0.059655,0.060006,0.057572,0.024341,0.003771,0.028541,0.612372,1.874349,4.735744,0.059680,0.057267,0.024130,0.003464,0.026587,0.632378,1.944167,4.956995,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_040657
p2tC_n256_seed1337_20251214_074825,z,jaw,256,256,0.650000,0.750000,0.100000,0.100000,0.500000,1024,0.000000,9,0.060031,0.060209,0.057402,0.024314,0.003751,0.028803,0.611974,1.879812,4.726307,0.059917,0.057167,0.024058,0.003437,0.026468,0.631992,1.948808,4.956657,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_074825
p2tC_n256_seed1337_20251214_041713,z,jaw,256,256,0.650000,0.750000,0.500000,0.000000,0.000000,2048,0.000000,9,0.068955,0.069430,0.058836,0.021187,0.003891,0.029239,0.613965,1.872655,4.720001,0.068937,0.058394,0.021086,0.003441,0.026352,0.631992,1.945924,4.931379,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_041713
p2tC_n256_seed1337_20251214_042818,z,jaw,256,256,0.650000,0.750000,1.000000,0.000000,0.000000,2048,0.000000,9,0.081537,0.081829,0.061951,0.019878,0.003857,0.029340,0.607569,1.875651,4.732649,0.081473,0.061508,0.019965,0.003388,0.026027,0.632764,1.957059,4.935574,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_042818
p2tC_n256_seed1337_20251214_001951,z,jaw,256,128,0.700000,0.700000,0.500000,0.100000,0.500000,512,0.000000,2,0.114491,0.123320,0.104892,0.036090,0.003825,0.029235,0.612372,1.881759,4.822891,0.122454,0.104304,0.035606,0.003470,0.026637,0.631219,1.958056,5.004697,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_001951
smoke_p2t_constraints_20260116_090938,z,jaw,512,256,0.650000,0.750000,0.100000,0.100000,0.500000,2048,0.000000,2,0.246440,0.263649,0.247442,0.157751,0.004320,0.032760,0.586718,1.684024,3.992488,0.260095,0.244132,0.155271,0.004357,0.033201,0.581284,1.751952,4.190298,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/smoke_p2t_constraints_20260116_090938
smoke_p2t_constraints_20260116_091242,z,jaw,512,256,0.650000,0.750000,0.100000,0.100000,0.500000,2048,0.000000,2,0.246440,0.263649,0.247442,0.157751,0.004320,0.032760,0.586718,1.684024,3.992488,0.260095,0.244132,0.155271,0.004357,0.033201,0.581284,1.751952,4.190298,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/smoke_p2t_constraints_20260116_091242
p2tC_plane_tooth_n128_seed1337_20260116_104533,plane,tooth,128,256,0.650000,0.750000,0.000000,0.100000,0.500000,2048,10.000000,1,0.221470,0.280542,0.280509,0.181870,0.000327,0.001856,3.320355,28.910376,44.693016,0.277740,0.277683,0.182121,0.000574,0.002667,3.611360,29.322960,44.526733,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_plane_tooth_n128_seed1337_20260116_104533
p2tC_n256_seed1337_20251214_001741,z,jaw,256,128,0.700000,0.700000,0.500000,0.100000,0.500000,512,0.000000,0,,,,,,,,,,,,,,,,,,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_001741
p2tC_n256_seed1337_20251214_001821,z,jaw,256,128,0.700000,0.700000,0.500000,0.100000,0.500000,512,0.000000,0,,,,,,,,,,,,,,,,,,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_001821
p2tC_n256_seed1337_20251214_001850,z,jaw,256,128,0.700000,0.700000,0.500000,0.100000,0.500000,512,0.000000,0,,,,,,,,,,,,,,,,,,/home/ubuntu/tiasha/dentist/runs/teeth3ds_prep2target_constraints/p2tC_n256_seed1337_20251214_001850
